fighter_url,first_name,last_name,nickname,height_inches,weight_lbs,reach_inches,stance,wins,loss,draws,belt
http://www.ufcstats.com/fighter-details/9ddfb3369a3b0394,Antonio,Banuelos,,65.0,135.0,63.0,Orthodox,20,11,1,False
http://www.ufcstats.com/fighter-details/2c99576fefe53c7c,Renan,Barao,The Baron,66.0,145.0,70.0,Orthodox,34,9,0,False
http://www.ufcstats.com/fighter-details/06dced58ca24a6bd,Junior,Barata,,70.0,170.0,,Orthodox,9,3,1,False
http://www.ufcstats.com/fighter-details/6a740daf1b279661,Maycee,Barber,The Future,65.0,125.0,65.0,Switch,8,1,0,False
http://www.ufcstats.com/fighter-details/a331233f597090a5,Bryan,Barberena,Bam Bam,72.0,170.0,72.0,Southpaw,14,7,0,False
http://www.ufcstats.com/fighter-details/64a50dad704d1d49,Edson,Barboza,Junior,71.0,145.0,75.0,Orthodox,20,9,0,False
http://www.ufcstats.com/fighter-details/b9f28e7045fdfce7,Raoni,Barcelos,,67.0,135.0,67.0,Orthodox,15,1,0,False
http://www.ufcstats.com/fighter-details/172c2135e70f87b7,Luke,Barnatt,The Bigslow,78.0,185.0,77.0,Orthodox,13,4,0,False
http://www.ufcstats.com/fighter-details/c06a5c95f1169c0b,James,Barnes,,68.0,145.0,,,7,2,0,False
http://www.ufcstats.com/fighter-details/78a5eea49638685d,Nick,Barnes,,71.0,170.0,,,11,2,0,False
http://www.ufcstats.com/fighter-details/ad3f53c454cbbead,Josh,Barnett,The Warmaster,75.0,250.0,78.0,Orthodox,35,8,0,False
http://www.ufcstats.com/fighter-details/91e69a1c3c87325b,Chris,Barnhizer,,,,,,2,3,0,False
http://www.ufcstats.com/fighter-details/80c0bed43da0e27b,David,Baron,,66.0,155.0,,Switch,17,4,1,False
http://www.ufcstats.com/fighter-details/1652f3213655b935,Phil,Baroni,The New York Bad Ass,69.0,170.0,72.0,Orthodox,15,18,0,False
http://www.ufcstats.com/fighter-details/f12f979b657ab876,Dan,Barrera,The Fireman,69.0,170.0,,Orthodox,3,1,0,False
http://www.ufcstats.com/fighter-details/a220be6d41d6f97d,Carlos,Barreto,,76.0,230.0,,Orthodox,14,9,0,False
http://www.ufcstats.com/fighter-details/c32eab6c2119e989,Jose,Barreto,,,185.0,,Southpaw,0,1,0,False
http://www.ufcstats.com/fighter-details/d21113c9ff3788ae,Peter,Barrett,Slippery,70.0,155.0,73.0,Southpaw,8,2,0,False
http://www.ufcstats.com/fighter-details/8e9eb3fc86db0f7d,Marc-Andre,Barriault,Powerbar,73.0,185.0,74.0,Orthodox,12,4,0,False
